id_producto,nombre,categoria,marca,precio,coste
127,Batido,Lácteos,Font Vella,4.96,2.98
128,Pasta de dientes,Higiene,Nestlé,6.49,4.53
129,Pera,Frutas,Pascual,2.35,1.54
130,Pienso gato,Mascotas,Font Vella,14.65,7.37
131,Baguette,Panadería,ElPozo,8.12,4.8
132,Uva,Frutas,Pascual,0.6,0.43
133,Turrón,Dulces,Bimbo,9.53,4.35
134,Pipas,Snacks,Bimbo,8.24,4.4
135,Papel higiénico,Higiene,Nestlé,6.62,3.74
136,Pan Integral,Panadería,Danone,2.3,1.35
137,Molde,Panadería,Font Vella,4.7,2.18
138,Chicles,Dulces,Central Lechera Asturiana,2.39,1.27
139,Mandarina,Frutas,ElPozo,5.77,4.03
140,Pan Integral,Panadería,Gallina Blanca,4.73,2.15
141,Patatas fritas,Congelados,Bimbo,0.64,0.38
142,Turrón,Dulces,Coca-Cola,1.07,0.68
143,Turrón,Dulces,Hero,2.65,1.72
144,Arena gato,Mascotas,Casa Tarradellas,3.15,1.55
145,Gominolas,Dulces,Casa Tarradellas,4.17,1.94
146,Pienso gato,Mascotas,Casa Tarradellas,14.43,10.32
147,Cacao,Desayuno,Central Lechera Asturiana,5.01,2.27
148,Zanahoria,Verduras,ElPozo,5.95,3.69
149,Pañales,Bebé,Bimbo,6.1,2.95
150,Cerveza,Bebidas,Campofrío,1.12,0.57
